event_index,event_initiation,current_T (°C),past_24hr_T (°C),CEI_raw,CEI,D_norm,NAC_norm,duration (hh:mm),cause_code,gen_rating_group (MW),gen_unit_type,gen_fuel,gen_state
1,2013-01-03 19:00:00,-15.0,"[-16.0, -17.0, -18.0, -19.0, -20.0, -22.0, -24.0, -25.0, -27.0, -27.0, -27.0, -27.0, -25.0, -24.0, -26.0, -26.0, -27.0, -28.0, -26.0, -22.0, -20.0, -18.0, -17.0, -16.0]",395.2642227355466,2.148420974523464,0.68,0.0,00:51,Cooling and seal air system B,<100,Combined Cycle Block,Gas,NY
2,2013-01-26 16:00:00,-13.0,"[-16.0, -15.0, -14.0, -13.0, -13.0, -13.0, -13.0, -13.0, -13.0, -14.0, -16.0, -16.0, -18.0, -17.0, -17.0, -19.0, -20.0, -18.0, -19.0, -20.0, -21.0, -19.0, -16.0, -14.0]",289.26465831307974,1.2121944737067631,0.6,0.0,01:54,Storms (ice; snow; etc),<100,Gas Turbine/Jet Engine (Simple Cycle Operation),Gas,NY
3,2013-01-23 07:00:00,-23.0,"[-17.0, -16.0, -17.0, -18.0, -17.0, -17.0, -17.0, -17.0, -17.0, -16.0, -16.0, -16.0, -16.0, -16.0, -16.0, -16.0, -17.0, -17.0, -17.0, -18.0, -19.0, -20.0, -21.0, -22.0]",317.1938662601234,1.4588753423434322,0.64,0.0,12:25,Storms (ice; snow; etc),<100,CoG GT units,Gas,NY
4,2013-01-24 18:00:00,-18.0,"[-22.0, -21.0, -20.0, -20.0, -21.0, -21.0, -22.0, -23.0, -23.0, -24.0, -24.0, -25.0, -26.0, -27.0, -27.0, -27.0, -27.0, -27.0, -26.0, -24.0, -22.0, -22.0, -20.0, -19.0]",411.0639048254536,2.287969482648416,0.73,0.0,04:25,Storms (ice; snow; etc),<100,Gas Turbine/Jet Engine (Simple Cycle Operation),Gas,NY
5,2013-01-23 02:00:00,-18.0,"[-14.0, -15.0, -15.0, -15.0, -16.0, -17.0, -16.0, -17.0, -18.0, -17.0, -17.0, -17.0, -17.0, -17.0, -16.0, -16.0, -16.0, -16.0, -16.0, -16.0, -16.0, -17.0, -17.0, -17.0]",292.35865712590146,1.2395217905485025,0.51,0.0,17:06,Storms (ice; snow; etc),<100,CoG GT units,Gas,NY
6,2013-01-27 12:00:00,-21.0,"[-21.0, -19.0, -16.0, -14.0, -13.0, -13.0, -11.0, -11.0, -10.0, -11.0, -13.0, -15.0, -16.0, -17.0, -17.0, -18.0, -17.0, -17.0, -17.0, -19.0, -19.0, -19.0, -21.0, -21.0]",296.37826536471766,1.275024424701622,0.57,0.0,04:59,Storms (ice; snow; etc),<100,CC GT units ,Gas,NY
7,2013-01-23 00:00:00,-17.0,"[-15.0, -14.0, -14.0, -15.0, -15.0, -15.0, -16.0, -17.0, -16.0, -17.0, -18.0, -17.0, -17.0, -17.0, -17.0, -17.0, -16.0, -16.0, -16.0, -16.0, -16.0, -16.0, -16.0, -17.0]",288.2355032000359,1.2031046034272734,0.54,0.82,02:11,Storms (ice; snow; etc),<100,Gas Turbine/Jet Engine (Simple Cycle Operation),Gas,NY
8,2013-01-23 02:00:00,-18.0,"[-14.0, -15.0, -15.0, -15.0, -16.0, -17.0, -16.0, -17.0, -18.0, -17.0, -17.0, -17.0, -17.0, -17.0, -16.0, -16.0, -16.0, -16.0, -16.0, -16.0, -16.0, -17.0, -17.0, -17.0]",292.35865712590146,1.2395217905485025,0.51,0.0,00:57,Storms (ice; snow; etc),<100,CoG GT units,Gas,NY
9,2013-01-26 15:00:00,-14.0,"[-17.0, -16.0, -15.0, -14.0, -13.0, -13.0, -13.0, -13.0, -13.0, -13.0, -14.0, -16.0, -16.0, -18.0, -17.0, -17.0, -19.0, -20.0, -18.0, -19.0, -20.0, -21.0, -19.0, -16.0]",292.99301886845785,1.2451247029540526,0.59,0.0,111:50,Storms (ice; snow; etc),<100,CoG GT units,Gas,NY
10,2013-01-26 15:00:00,-14.0,"[-17.0, -16.0, -15.0, -14.0, -13.0, -13.0, -13.0, -13.0, -13.0, -13.0, -14.0, -16.0, -16.0, -18.0, -17.0, -17.0, -19.0, -20.0, -18.0, -19.0, -20.0, -21.0, -19.0, -16.0]",292.99301886845785,1.2451247029540526,0.59,0.0,111:50,Storms (ice; snow; etc),<100,CoG GT units,Gas,NY
11,2013-01-24 02:00:00,-23.0,"[-18.0, -19.0, -20.0, -21.0, -22.0, -23.0, -23.0, -24.0, -25.0, -25.0, -26.0, -26.0, -26.0, -25.0, -24.0, -22.0, -22.0, -21.0, -20.0, -20.0, -21.0, -21.0, -22.0, -23.0]",399.6727805731897,2.1873589522450954,0.52,0.0,00:26,Storms (ice; snow; etc),<100,Gas Turbine/Jet Engine (Simple Cycle Operation),Gas,NY
12,2013-01-24 01:00:00,-23.0,"[-17.0, -18.0, -19.0, -20.0, -21.0, -22.0, -23.0, -23.0, -24.0, -25.0, -25.0, -26.0, -26.0, -26.0, -25.0, -24.0, -22.0, -22.0, -21.0, -20.0, -20.0, -21.0, -21.0, -22.0]",396.50654697166397,2.159393631616887,0.53,0.0,00:38,Storms (ice; snow; etc),<100,Gas Turbine/Jet Engine (Simple Cycle Operation),Gas,NY
13,2013-01-28 20:00:00,-7.0,"[-9.0, -10.0, -12.0, -14.0, -16.0, -16.0, -16.0, -16.0, -16.0, -16.0, -16.0, -17.0, -17.0, -17.0, -16.0, -14.0, -12.0, -10.0, -9.0, -9.0, -8.0, -8.0, -7.0, -7.0]",214.98588228001665,0.5561374516871281,0.64,0.5,05:36,Gas fuel system B,>200,Combined Cycle Block,Gas,NY
14,2013-02-09 03:00:00,-11.0,"[-16.0, -16.0, -16.0, -16.0, -15.0, -15.0, -15.0, -16.0, -15.0, -15.0, -15.0, -15.0, -14.0, -14.0, -14.0, -13.0, -13.0, -12.0, -12.0, -12.0, -11.0, -11.0, -11.0, -11.0]",237.5562870694318,0.7554874321624429,0.47,0.0,01:40,Storms (ice; snow; etc),<100,Gas Turbine/Jet Engine (Simple Cycle Operation),Gas,NY
15,2013-01-24 14:00:00,-22.0,"[-26.0, -25.0, -24.0, -22.0, -22.0, -21.0, -20.0, -20.0, -21.0, -21.0, -22.0, -23.0, -23.0, -24.0, -24.0, -25.0, -26.0, -27.0, -27.0, -27.0, -27.0, -27.0, -26.0, -24.0]",428.04730484380843,2.4379730157552415,0.66,0.0,01:30,Liquid fuel oil transfer/forwarding pump A,<100,Gas Turbine/Jet Engine (Simple Cycle Operation),Gas,NY
16,2013-01-23 12:00:00,-26.0,"[-17.0, -17.0, -17.0, -17.0, -16.0, -16.0, -16.0, -16.0, -16.0, -16.0, -16.0, -17.0, -17.0, -17.0, -18.0, -19.0, -20.0, -21.0, -22.0, -23.0, -23.0, -24.0, -25.0, -25.0]",351.0151212689537,1.7575969022165137,0.67,0.0,00:49,Gas fuel system A,<100,Gas Turbine/Jet Engine (Simple Cycle Operation),Gas,NY
17,2013-01-28 21:00:00,-7.0,"[-10.0, -12.0, -14.0, -16.0, -16.0, -16.0, -16.0, -16.0, -16.0, -16.0, -17.0, -17.0, -17.0, -16.0, -14.0, -12.0, -10.0, -9.0, -9.0, -8.0, -8.0, -7.0, -7.0, -7.0]",211.3335334643268,0.5238785856238013,0.61,0.47,05:36,Gas fuel system B,>200,Combined Cycle Block,Gas,NY
18,2013-01-23 05:00:00,-21.0,"[-15.0, -16.0, -17.0, -16.0, -17.0, -18.0, -17.0, -17.0, -17.0, -17.0, -17.0, -16.0, -16.0, -16.0, -16.0, -16.0, -16.0, -16.0, -17.0, -17.0, -17.0, -18.0, -19.0, -20.0]",305.1545791323674,1.3525400029355892,0.55,0.0,01:44,Storms (ice; snow; etc),<100,CoG GT units,Gas,NY
19,2014-01-23 13:00:00,-24.0,"[-31.0, -27.0, -25.0, -23.0, -22.0, -21.0, -20.0, -20.0, -21.0, -23.0, -23.0, -24.0, -25.0, -24.0, -24.0, -25.0, -26.0, -25.0, -25.0, -25.0, -25.0, -25.0, -25.0, -26.0]",430.8699814890201,2.4629039170554683,0.76,0.26,05:53,Other auxiliary system problems B,<100,Combined Cycle Block,Gas,NY
20,2014-01-24 00:00:00,-21.0,"[-24.0, -25.0, -24.0, -24.0, -25.0, -26.0, -25.0, -25.0, -25.0, -25.0, -25.0, -25.0, -26.0, -24.0, -22.0, -22.0, -21.0, -20.0, -19.0, -17.0, -18.0, -18.0, -19.0, -20.0]",392.58962734864133,2.1247979804684802,0.64,0.68,00:31,Other auxiliary system problems B,<100,Combined Cycle Block,Gas,NY
21,2014-01-21 22:00:00,-23.0,"[-17.0, -19.0, -20.0, -21.0, -21.0, -23.0, -25.0, -25.0, -29.0, -29.0, -28.0, -29.0, -31.0, -31.0, -32.0, -30.0, -24.0, -23.0, -22.0, -21.0, -21.0, -20.0, -20.0, -22.0]",430.3999899250092,2.4587527815316133,0.71,0.68,05:02,Other auxiliary system problems B,<100,Combined Cycle Block,Gas,NY
22,2014-01-23 00:00:00,-24.0,"[-28.0, -29.0, -31.0, -31.0, -32.0, -32.0, -32.0, -33.0, -33.0, -34.0, -34.0, -34.0, -34.0, -31.0, -27.0, -25.0, -23.0, -22.0, -21.0, -20.0, -20.0, -21.0, -23.0, -23.0]",480.4365079740889,2.9006934108292604,0.64,0.17,04:07,Other auxiliary system problems B,<100,Combined Cycle Block,Gas,NY
23,2014-01-22 10:00:00,-34.0,"[-31.0, -31.0, -32.0, -30.0, -24.0, -23.0, -22.0, -21.0, -21.0, -20.0, -20.0, -22.0, -23.0, -26.0, -28.0, -29.0, -31.0, -31.0, -32.0, -32.0, -32.0, -33.0, -33.0, -34.0]",504.31311811634913,3.1115802695314354,0.78,0.68,01:16,Other auxiliary system problems B,<100,Combined Cycle Block,Gas,NY
24,2014-02-28 13:00:00,-21.0,"[-14.0, -12.0, -11.0, -12.0, -14.0, -15.0, -16.0, -17.0, -17.0, -18.0, -18.0, -18.0, -19.0, -19.0, -20.0, -20.0, -20.0, -21.0, -21.0, -21.0, -22.0, -22.0, -24.0, -22.0]",335.13046666919934,1.617297886143785,0.72,0.79,00:35,Other combined cycle problems. (Use other gas turbine problem codes; other steam turbine codes; etc. whenever appropriate.),>200,Combined Cycle Block,Gas,NY
25,2014-01-03 14:00:00,-25.0,"[-24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0]",427.4202357965023,2.432434515072446,0.75,0.26,04:54,Storms (ice; snow; etc),>200,Combined Cycle Block,Gas,NY
26,2014-01-07 21:00:00,-20.0,"[-16.0, -18.0, -20.0, -21.0, -22.0, -22.0, -23.0, -24.0, -24.0, -25.0, -26.0, -26.0, -26.0, -25.0, -26.0, -26.0, -25.0, -24.0, -23.0, -21.0, -21.0, -20.0, -20.0, -20.0]",400.98290147844637,2.1989304140473975,0.79,0.79,24:23,Storms (ice; snow; etc),>200,Combined Cycle Block,Gas,NY
27,2014-01-04 01:00:00,-29.0,"[-24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -25.0, -25.0, -24.0, -23.0, -22.0, -21.0, -21.0, -22.0, -24.0, -28.0, -29.0]",432.24114856559834,2.475014560727772,0.61,0.49,02:26,Storms (ice; snow; etc),>200,Combined Cycle Block,Gas,NY
28,2014-01-03 19:00:00,-21.0,"[-24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -25.0, -25.0, -24.0, -23.0, -22.0]",422.2833626322023,2.387063792900568,0.81,0.47,04:24,Storms (ice; snow; etc),>200,Combined Cycle Block,Gas,NY
29,2014-02-28 07:00:00,-21.0,"[-17.0, -18.0, -18.0, -18.0, -19.0, -17.0, -14.0, -12.0, -11.0, -12.0, -14.0, -15.0, -16.0, -17.0, -17.0, -18.0, -18.0, -18.0, -19.0, -19.0, -20.0, -20.0, -20.0, -21.0]",310.9394982396565,1.40363450132182,0.72,0.87,00:36,Other combined cycle problems. (Use other gas turbine problem codes; other steam turbine codes; etc. whenever appropriate.),>200,Combined Cycle Block,Gas,NY
30,2014-01-03 09:00:00,-24.0,"[-24.0, -24.0, -24.0, -24.0, -25.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0]",426.96403013942904,2.42840514166604,0.73,0.0,04:57,Storms (ice; snow; etc),>200,Combined Cycle Block,Gas,NY
31,2014-01-07 09:00:00,-26.0,"[-2.0, -3.0, -4.0, -6.0, -7.0, -8.0, -8.0, -8.0, -9.0, -11.0, -12.0, -13.0, -16.0, -18.0, -20.0, -21.0, -22.0, -22.0, -23.0, -24.0, -24.0, -25.0, -26.0, -26.0]",303.6458147282448,1.339214049887341,0.78,0.0,01:52,Storms (ice; snow; etc),<100,CoG GT units,Gas,NY
32,2014-01-04 17:00:00,-12.0,"[-23.0, -22.0, -21.0, -21.0, -22.0, -24.0, -28.0, -29.0, -29.0, -29.0, -29.0, -31.0, -31.0, -31.0, -31.0, -29.0, -26.0, -25.0, -24.0, -23.0, -22.0, -19.0, -15.0, -14.0]",424.086853179361,2.4029928738682305,0.75,0.0,03:49,Storms (ice; snow; etc),<100,CoG GT units,Gas,NY
33,2014-01-03 04:00:00,-24.0,"[-23.0, -24.0, -23.0, -24.0, -23.0, -24.0, -24.0, -24.0, -24.0, -25.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0]",425.5166193235408,2.4156210857051827,0.59,0.0,01:17,Storms (ice; snow; etc),<100,CoG GT units,Gas,NY
34,2014-01-09 19:00:00,-8.0,"[-11.0, -11.0, -11.0, -11.0, -13.0, -13.0, -13.0, -12.0, -13.0, -11.0, -11.0, -11.0, -11.0, -13.0, -13.0, -16.0, -14.0, -15.0, -13.0, -11.0, -10.0, -8.0, -8.0, -8.0]",202.23135809498856,0.44348487983561696,0.78,0.0,20:04,Storms (ice; snow; etc),<100,CoG GT units,Gas,NY
35,2014-01-30 19:00:00,-5.0,"[-13.0, -12.0, -12.0, -13.0, -13.0, -13.0, -14.0, -17.0, -19.0, -20.0, -21.0, -21.0, -20.0, -19.0, -21.0, -22.0, -21.0, -21.0, -17.0, -14.0, -11.0, -9.0, -7.0, -6.0]",264.6140393829387,0.9944712893741273,0.78,0.0,03:07,Storms (ice; snow; etc),<100,CoG GT units,Gas,NY
36,2014-01-19 16:00:00,-7.0,"[-11.0, -11.0, -10.0, -10.0, -10.0, -10.0, -10.0, -11.0, -11.0, -11.0, -12.0, -12.0, -12.0, -12.0, -12.0, -12.0, -12.0, -12.0, -12.0, -12.0, -12.0, -12.0, -11.0, -8.0]",195.12517349546863,0.3807204866231109,0.65,0.0,03:05,Storms (ice; snow; etc),<100,CoG GT units,Gas,NY
37,2014-01-05 17:00:00,-3.0,"[-12.0, -9.0, -8.0, -8.0, -9.0, -14.0, -14.0, -14.0, -14.0, -14.0, -16.0, -17.0, -17.0, -17.0, -17.0, -18.0, -18.0, -18.0, -19.0, -19.0, -15.0, -12.0, -9.0, -6.0]",239.57324317139208,0.7733019181363017,0.73,0.0,05:13,Storms (ice; snow; etc),<100,Gas Turbine/Jet Engine (Simple Cycle Operation),Gas,NY
38,2014-02-13 13:00:00,-18.0,"[-26.0, -23.0, -16.0, -15.0, -13.0, -11.0, -10.0, -9.0, -10.0, -13.0, -18.0, -19.0, -19.0, -23.0, -22.0, -20.0, -20.0, -21.0, -22.0, -22.0, -22.0, -22.0, -22.0, -22.0]",333.8399602134091,1.6058996662551588,0.74,0.0,03:30,Storms (ice; snow; etc),<100,CoG GT units,Gas,NY
39,2014-01-21 09:00:00,-29.0,"[-10.0, -11.0, -11.0, -12.0, -13.0, -13.0, -14.0, -14.0, -14.0, -15.0, -15.0, -16.0, -16.0, -17.0, -19.0, -20.0, -21.0, -21.0, -23.0, -25.0, -25.0, -29.0, -29.0, -28.0]",350.25717226381454,1.7509024223972314,0.74,0.0,19:23,Storms (ice; snow; etc),<100,CoG GT units,Gas,NY
40,2014-01-30 19:00:00,-5.0,"[-13.0, -12.0, -12.0, -13.0, -13.0, -13.0, -14.0, -17.0, -19.0, -20.0, -21.0, -21.0, -20.0, -19.0, -21.0, -22.0, -21.0, -21.0, -17.0, -14.0, -11.0, -9.0, -7.0, -6.0]",264.6140393829387,0.9944712893741273,0.78,0.0,03:07,Storms (ice; snow; etc),<100,CoG GT units,Gas,NY
41,2014-01-03 12:00:00,-24.0,"[-24.0, -25.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0]",426.9165422108443,2.427985711100903,0.75,0.0,03:29,Storms (ice; snow; etc),<100,CC GT units ,Gas,NY
42,2014-01-07 11:00:00,-26.0,"[-4.0, -6.0, -7.0, -8.0, -8.0, -8.0, -9.0, -11.0, -12.0, -13.0, -16.0, -18.0, -20.0, -21.0, -22.0, -22.0, -23.0, -24.0, -24.0, -25.0, -26.0, -26.0, -26.0, -25.0]",333.64349203384893,1.604164388216295,0.79,0.0,70:30,Storms (ice; snow; etc),<100,CC GT units ,Gas,NY
43,2014-01-06 17:00:00,-9.0,"[-3.0, -2.0, -2.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -2.0, -2.0, -1.0, -1.0, -0.0, 0.0, 1.0, -2.0, -3.0, -4.0, -6.0, -7.0, -8.0, -8.0, -8.0]",67.9203377907202,-0.7427986416647219,0.78,0.0,06:36,Fuel piping and valves B,<100,Gas Turbine/Jet Engine (Simple Cycle Operation),Gas,NY
44,2014-01-04 17:00:00,-12.0,"[-23.0, -22.0, -21.0, -21.0, -22.0, -24.0, -28.0, -29.0, -29.0, -29.0, -29.0, -31.0, -31.0, -31.0, -31.0, -29.0, -26.0, -25.0, -24.0, -23.0, -22.0, -19.0, -15.0, -14.0]",424.086853179361,2.4029928738682305,0.75,0.89,04:27,Storms (ice; snow; etc),>200,Combined Cycle Block,Gas,NY
45,2014-01-02 21:00:00,-24.0,"[-21.0, -24.0, -26.0, -22.0, -23.0, -23.0, -24.0, -23.0, -24.0, -23.0, -24.0, -23.0, -24.0, -24.0, -24.0, -24.0, -25.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0]",422.72156726869184,2.3909341747808854,0.74,0.0,69:14,Fuel piping and valves B,<100,Gas Turbine/Jet Engine (Simple Cycle Operation),Gas,NY
46,2014-01-04 17:00:00,-12.0,"[-23.0, -22.0, -21.0, -21.0, -22.0, -24.0, -28.0, -29.0, -29.0, -29.0, -29.0, -31.0, -31.0, -31.0, -31.0, -29.0, -26.0, -25.0, -24.0, -23.0, -22.0, -19.0, -15.0, -14.0]",424.086853179361,2.4029928738682305,0.75,0.0,03:49,Storms (ice; snow; etc),<100,CoG GT units,Gas,NY
47,2014-01-07 13:00:00,-25.0,"[-7.0, -8.0, -8.0, -8.0, -9.0, -11.0, -12.0, -13.0, -16.0, -18.0, -20.0, -21.0, -22.0, -22.0, -23.0, -24.0, -24.0, -25.0, -26.0, -26.0, -26.0, -25.0, -26.0, -26.0]",359.5314515667352,1.8328162123894647,0.79,0.26,00:50,SCR NOx Injection grid piping/valves,<100,Gas Turbine/Jet Engine (Simple Cycle Operation),Gas,NY
48,2014-01-06 20:00:00,-13.0,"[-3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -2.0, -2.0, -1.0, -1.0, -0.0, 0.0, 1.0, -2.0, -3.0, -4.0, -6.0, -7.0, -8.0, -8.0, -8.0, -9.0, -11.0, -12.0]",93.82094861324623,-0.5140350767245521,0.75,0.0,00:22,Fuel piping and valves B,<100,Gas Turbine/Jet Engine (Simple Cycle Operation),Gas,NY
49,2014-01-05 22:00:00,-3.0,"[-14.0, -14.0, -14.0, -14.0, -14.0, -16.0, -17.0, -17.0, -17.0, -17.0, -18.0, -18.0, -18.0, -19.0, -19.0, -15.0, -12.0, -9.0, -6.0, -3.0, -2.0, -2.0, -3.0, -3.0]",197.9201500824402,0.40540673098781294,0.61,0.8,00:16,Storms (ice; snow; etc),<100,Gas Turbine/Jet Engine (Simple Cycle Operation),Gas,NY
